project;mergecommit;files;consecutiveLinesonly;spacingonly;samePositiononly;sameStmtonly;otheronly;consecutiveLinesAndSamePosition;consecutiveLinesAndsameStmt;otherAndsamePosition;otherAndsameStmt;spacingAndSamePosition;spacingAndSameStmt;ssmergeConf;textualConf;jdimeConfs;smergeTime;textualTime;jdimeTime;sucessfullMerge;isSsEqualsToUn;isStEqualsToUn
https://github.com/guilhermejccavalcanti/TGM;3ba28a912a763ff973e3d5ab63ac35a64462c117;guilhermejccavalcanti/TGM,3ba28a912a763ff973e3d5ab63ac35a64462c117,CaseStudy;0;0;0;0;0;0;0;0;0;0;0;0;1;1;50998286;16619790;507829611;true;false;false
https://github.com/guilhermejccavalcanti/TGM;7576fa3dd4c0860238f796e9fa85490db7d01ea2;guilhermejccavalcanti/TGM,7576fa3dd4c0860238f796e9fa85490db7d01ea2,CaseStudy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54079385;16691186;517688447;true;true;true
https://github.com/guilhermejccavalcanti/TGM;d9c87e1cc9b192837942ec658910cb7465b526dd;guilhermejccavalcanti/TGM,d9c87e1cc9b192837942ec658910cb7465b526dd,CaseStudy;0;0;0;0;0;0;0;0;0;0;0;0;1;0;105207092;18252784;637895989;true;false;false
https://github.com/guilhermejccavalcanti/TGM;9df3c53bed69f614303ffaf64753bae917743166;guilhermejccavalcanti/TGM,9df3c53bed69f614303ffaf64753bae917743166,CaseStudy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104670062;18648730;632593949;true;true;true
https://github.com/guilhermejccavalcanti/TGM;aa9f7cae808ec4ec58f183ee1e5d1b629679a5d9;guilhermejccavalcanti/TGM,aa9f7cae808ec4ec58f183ee1e5d1b629679a5d9,CaseStudy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107742059;19626650;658687154;true;true;true
https://github.com/guilhermejccavalcanti/TGM;c7472e3fccd4f16c1c6cf87d2bb4494a1ba1500a;guilhermejccavalcanti/TGM,c7472e3fccd4f16c1c6cf87d2bb4494a1ba1500a,CaseStudy;0;0;0;0;0;0;0;0;0;0;0;1;1;1;104948817;19186046;668313599;true;true;false
https://github.com/guilhermejccavalcanti/TGM;1800432a1cd6ccfffd9bb7edaebf8f25e55902ec;guilhermejccavalcanti/TGM,1800432a1cd6ccfffd9bb7edaebf8f25e55902ec,CaseStudy;0;0;0;0;0;0;0;0;0;0;0;1;1;1;103006064;18945690;660154886;true;true;false
https://github.com/guilhermejccavalcanti/TGM;7de52ed0e7092af61662d92e9794e5afdd90bfb3;guilhermejccavalcanti/TGM,7de52ed0e7092af61662d92e9794e5afdd90bfb3,CaseStudy;0;0;0;0;0;0;0;0;0;0;0;1;1;1;112476918;19675006;674616313;true;true;false
https://github.com/guilhermejccavalcanti/TGM;357f849bae185cf6b09bfae176a0d1082afab58d;guilhermejccavalcanti/TGM,357f849bae185cf6b09bfae176a0d1082afab58d,CaseStudy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110512261;20604285;684157425;true;true;true
https://github.com/guilhermejccavalcanti/TGM;dc1e644ed6448bc46c6ef8c73d3a20bb5ef86996;guilhermejccavalcanti/TGM,dc1e644ed6448bc46c6ef8c73d3a20bb5ef86996,CaseStudy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110023586;21767662;697547352;true;true;true
https://github.com/guilhermejccavalcanti/TGM;483728bac47627aa728a9b46897fe1ab86d5eb11;guilhermejccavalcanti/TGM,483728bac47627aa728a9b46897fe1ab86d5eb11,CaseStudy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110211604;20746791;708328925;true;true;true
https://github.com/guilhermejccavalcanti/TGM;84838a87cc598a9a9f05f68476cdd67b31e2ecc2;guilhermejccavalcanti/TGM,84838a87cc598a9a9f05f68476cdd67b31e2ecc2,CaseStudy;0;0;0;0;0;0;0;0;0;0;0;1;1;1;104757955;19511734;700087438;true;true;false
