project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;unmergeconfs
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;3ba28a912a763ff973e3d5ab63ac35a64462c117;c0c6d0e;5bd4c041add32a8be8790ae715cbad8a713efd6c;4482591;0;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;d9c87e1cc9b192837942ec658910cb7465b526dd;b43d8b5;54b39ae864cffad86c855b5917f3c4d7a0249ae2;a9be6e0;0;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;03077daed514b3a49a426afcd4143e2c37476e41;bbd4c21;072c177c9523a837f3785d62dbceccb86491443a;583228c;0;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;a08317dd89c4076c0b9486ca6180d541591c3538;793e85b;6f9fadec02576f4cbc00ccef305b98821c0abbd5;b5f54ba;1;0
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;b867af2f7f9eae5a6a06e5e18541c608df88ec2f;d28eee2;c29f8c854fc02ab559f98b7f037e98ad96c7145b;279cb16;0;1
C:/Users/Guilherme/Desktop/ISI/repositories\TGM;c8852bb25df5eb7ef93cd32a6e4522bc6085d3a4;6446fba;b867af2f7f9eae5a6a06e5e18541c608df88ec2f;016089f;0;1
